iter	Passed	Remaining
0	111	111568
1	142	70902
2	162	53945
3	182	45353
4	201	40160
5	221	36692
6	241	34222
7	261	32393
8	281	30986
9	301	29826
10	321	28878
11	341	28097
12	361	27463
13	381	26889
14	402	26426
15	423	26062
16	444	25693
17	464	25353
18	485	25043
19	505	24766
20	525	24500
21	545	24254
22	566	24059
23	586	23851
24	606	23660
25	628	23548
26	649	23396
27	669	23232
28	689	23079
29	709	22944
30	729	22817
31	750	22690
32	770	22579
33	790	22464
34	810	22359
35	830	22250
36	851	22159
37	872	22076
38	891	21979
39	912	21907
40	934	21848
41	954	21781
42	975	21713
43	998	21690
44	1022	21710
45	1047	21722
46	1070	21710
47	1093	21689
48	1116	21662
49	1138	21635
50	1160	21600
51	1182	21555
52	1206	21555
53	1230	21556
54	1255	21566
55	1278	21547
56	1301	21523
57	1324	21519
58	1348	21513
59	1371	21491
60	1395	21483
61	1418	21457
62	1440	21430
63	1463	21405
64	1486	21376
65	1507	21332
66	1530	21310
67	1552	21276
68	1575	21261
69	1597	21221
70	1619	21186
71	1640	21147
72	1661	21103
73	1683	21066
74	1704	21021
75	1725	20984
76	1760	21104
77	1782	21071
78	1805	21045
79	1827	21021
80	1851	21002
81	1872	20962
82	1893	20923
83	1915	20883
84	1936	20850
85	1957	20809
86	1978	20767
87	1998	20715
88	2019	20669
89	2040	20632
90	2061	20590
91	2082	20551
92	2103	20512
93	2125	20485
94	2147	20459
95	2170	20443
96	2194	20433
97	2217	20412
98	2242	20410
99	2267	20407
100	2291	20392
101	2314	20380
102	2337	20357
103	2360	20338
104	2381	20302
105	2403	20268
106	2436	20332
107	2457	20298
108	2478	20258
109	2498	20213
110	2519	20181
111	2540	20139
112	2561	20108
113	2582	20071
114	2603	20038
115	2626	20014
116	2647	19982
117	2669	19952
118	2691	19922
119	2712	19893
120	2734	19861
121	2756	19835
122	2777	19804
123	2799	19775
124	2820	19746
125	2843	19721
126	2865	19696
127	2887	19673
128	2910	19650
129	2932	19624
130	2955	19602
131	2978	19583
132	3001	19564
133	3023	19541
134	3045	19514
135	3068	19491
136	3089	19459
137	3110	19431
138	3133	19408
139	3157	19396
140	3179	19371
141	3202	19350
142	3225	19331
143	3247	19306
144	3269	19278
145	3290	19248
146	3312	19223
147	3333	19192
148	3355	19166
149	3378	19144
150	3401	19123
151	3423	19101
152	3446	19077
153	3468	19055
154	3492	19037
155	3514	19016
156	3538	18997
157	3563	18990
158	3588	18981
159	3613	18973
160	3638	18962
161	3663	18950
162	3688	18939
163	3714	18933
164	3740	18926
165	3767	18928
166	3794	18925
167	3821	18927
168	3851	18937
169	3882	18955
170	3914	18977
171	3948	19009
172	3982	19036
173	4017	19071
174	4051	19102
175	4085	19129
176	4118	19150
177	4151	19172
178	4186	19200
179	4220	19225
180	4257	19263
181	4299	19325
182	4340	19377
183	4382	19433
184	4421	19478
185	4460	19519
186	4498	19558
187	4538	19603
188	4580	19654
189	4621	19704
190	4662	19747
191	4717	19854
192	4781	19992
193	4823	20038
194	4867	20093
195	4913	20155
196	4954	20193
197	4997	20241
198	5039	20284
199	5082	20331
200	5124	20370
201	5164	20403
202	5207	20444
203	5249	20483
204	5290	20518
205	5333	20558
206	5375	20592
207	5417	20626
208	5458	20657
209	5498	20684
210	5539	20712
211	5578	20734
212	5618	20759
213	5657	20780
214	5698	20805
215	5739	20832
216	5786	20879
217	5827	20905
218	5868	20929
219	5911	20960
220	5955	20992
221	5997	21017
222	6037	21037
223	6082	21072
224	6126	21100
225	6169	21128
226	6208	21140
227	6248	21156
228	6292	21184
229	6333	21204
230	6379	21239
231	6421	21256
232	6463	21275
233	6505	21296
234	6547	21315
235	6589	21333
236	6630	21344
237	6669	21352
238	6706	21354
239	6749	21371
240	6789	21383
241	6831	21398
242	6874	21415
243	6915	21427
244	6957	21441
245	7000	21455
246	7042	21468
247	7084	21481
248	7125	21491
249	7165	21495
250	7204	21499
251	7243	21501
252	7282	21500
253	7319	21498
254	7355	21489
255	7392	21484
256	7431	21484
257	7469	21481
258	7508	21480
259	7546	21478
260	7583	21473
261	7623	21474
262	7660	21467
263	7697	21460
264	7734	21452
265	7771	21445
266	7808	21436
267	7846	21432
268	7885	21427
269	7923	21423
270	7960	21413
271	7996	21403
272	8033	21393
273	8070	21384
274	8108	21377
275	8145	21368
276	8182	21358
277	8220	21350
278	8258	21340
279	8295	21330
280	8331	21317
281	8368	21307
282	8404	21294
283	8442	21284
284	8479	21273
285	8517	21264
286	8555	21255
287	8593	21244
288	8632	21238
289	8669	21225
290	8707	21215
291	8745	21205
292	8783	21195
293	8823	21188
294	8866	21189
295	8907	21186
296	8950	21185
297	8991	21181
298	9030	21171
299	9068	21160
300	9106	21147
301	9145	21137
302	9183	21125
303	9223	21116
304	9261	21104
305	9302	21097
306	9342	21088
307	9379	21073
308	9417	21059
309	9454	21044
310	9492	21030
311	9530	21014
312	9568	21000
313	9607	20989
314	9647	20979
315	9685	20964
316	9721	20945
317	9759	20930
318	9793	20906
319	9828	20885
320	9862	20862
321	9896	20838
322	9931	20815
323	9965	20792
324	10000	20769
325	10037	20751
326	10074	20733
327	10110	20713
328	10145	20692
329	10182	20674
330	10218	20653
331	10255	20635
332	10292	20615
333	10327	20593
334	10364	20574
335	10401	20554
336	10438	20535
337	10473	20513
338	10510	20493
339	10547	20473
340	10583	20452
341	10620	20432
342	10653	20405
343	10686	20378
344	10720	20354
345	10754	20328
346	10787	20300
347	10820	20272
348	10854	20248
349	10887	20220
350	10922	20195
351	10960	20177
352	10996	20154
353	11030	20129
354	11066	20107
355	11101	20082
356	11137	20060
357	11174	20038
358	11210	20016
359	11246	19993
360	11286	19977
361	11321	19952
362	11356	19928
363	11390	19902
364	11427	19880
365	11463	19858
366	11500	19836
367	11535	19811
368	11572	19788
369	11607	19764
370	11643	19741
371	11680	19718
372	11716	19694
373	11752	19670
374	11786	19643
375	11820	19616
376	11855	19591
377	11889	19564
378	11925	19539
379	11960	19514
380	11996	19489
381	12032	19465
382	12068	19441
383	12105	19418
384	12140	19393
385	12174	19365
386	12208	19338
387	12243	19312
388	12277	19284
389	12312	19258
390	12345	19228
391	12379	19200
392	12413	19173
393	12447	19145
394	12480	19116
395	12515	19088
396	12549	19061
397	12584	19034
398	12619	19007
399	12655	18983
400	12689	18955
401	12725	18929
402	12760	18902
403	12794	18875
404	12831	18850
405	12865	18822
406	12898	18793
407	12930	18762
408	12963	18732
409	12998	18704
410	13033	18678
411	13067	18649
412	13099	18618
413	13133	18589
414	13166	18560
415	13200	18530
416	13233	18501
417	13267	18472
418	13300	18443
419	13334	18414
420	13368	18385
421	13404	18360
422	13440	18333
423	13477	18308
424	13514	18284
425	13549	18257
426	13584	18229
427	13619	18201
428	13654	18174
429	13691	18149
430	13726	18121
431	13761	18093
432	13796	18066
433	13833	18041
434	13869	18013
435	13903	17985
436	13939	17958
437	13973	17929
438	14008	17901
439	14042	17872
440	14076	17843
441	14112	17815
442	14146	17786
443	14181	17758
444	14216	17730
445	14251	17702
446	14286	17674
447	14323	17648
448	14358	17620
449	14394	17593
450	14428	17563
451	14461	17533
452	14495	17503
453	14529	17473
454	14563	17444
455	14598	17415
456	14632	17385
457	14665	17354
458	14699	17325
459	14733	17295
460	14766	17265
461	14801	17236
462	14837	17208
463	14871	17179
464	14904	17148
465	14937	17117
466	14970	17086
467	15004	17056
468	15037	17025
469	15070	16994
470	15104	16964
471	15138	16934
472	15170	16902
473	15204	16872
474	15239	16843
475	15274	16814
476	15308	16784
477	15343	16756
478	15378	16727
479	15414	16699
480	15448	16668
481	15482	16638
482	15515	16607
483	15548	16576
484	15583	16547
485	15621	16521
486	15656	16492
487	15691	16462
488	15725	16432
489	15759	16402
490	15794	16373
491	15829	16344
492	15863	16314
493	15899	16285
494	15934	16256
495	15970	16227
496	16004	16198
497	16041	16170
498	16079	16143
499	16114	16114
500	16148	16084
501	16184	16055
502	16219	16025
503	16254	15996
504	16289	15966
505	16325	15938
506	16360	15908
507	16394	15878
508	16428	15847
509	16462	15816
510	16496	15785
511	16529	15754
512	16563	15724
513	16597	15692
514	16632	15663
515	16666	15632
516	16700	15602
517	16734	15571
518	16767	15539
519	16801	15508
520	16835	15478
521	16868	15446
522	16900	15414
523	16934	15383
524	16968	15352
525	17005	15324
526	17038	15292
527	17070	15260
528	17103	15228
529	17135	15195
530	17167	15163
531	17200	15131
532	17232	15098
533	17265	15066
534	17297	15034
535	17330	15002
536	17363	14970
537	17400	14942
538	17436	14913
539	17471	14882
540	17506	14853
541	17541	14822
542	17574	14791
543	17608	14759
544	17642	14728
545	17676	14698
546	17708	14665
547	17743	14635
548	17775	14602
549	17808	14570
550	17839	14537
551	17873	14506
552	17906	14474
553	17938	14441
554	17974	14411
555	18010	14382
556	18045	14352
557	18082	14323
558	18120	14295
559	18162	14270
560	18203	14244
561	18244	14219
562	18283	14191
563	18323	14165
564	18362	14137
565	18401	14109
566	18438	14080
567	18477	14052
568	18514	14024
569	18553	13996
570	18590	13966
571	18626	13937
572	18666	13910
573	18704	13881
574	18742	13853
575	18779	13823
576	18814	13793
577	18851	13763
578	18886	13732
579	18923	13702
580	18960	13673
581	18997	13643
582	19034	13614
583	19070	13584
584	19107	13554
585	19147	13527
586	19187	13499
587	19226	13471
588	19266	13443
589	19306	13416
590	19342	13386
591	19378	13355
592	19415	13325
593	19451	13294
594	19486	13263
595	19523	13233
596	19558	13203
597	19594	13172
598	19630	13141
599	19669	13112
600	19710	13085
601	19750	13057
602	19787	13027
603	19822	12996
604	19858	12965
605	19894	12934
606	19929	12903
607	19966	12872
608	20001	12841
609	20034	12809
610	20071	12778
611	20106	12747
612	20142	12716
613	20182	12687
614	20219	12657
615	20259	12629
616	20300	12601
617	20340	12573
618	20379	12543
619	20420	12515
620	20476	12496
621	20526	12474
622	20571	12448
623	20614	12421
624	20653	12391
625	20690	12361
626	20726	12330
627	20760	12297
628	20796	12266
629	20834	12235
630	20873	12206
631	20912	12177
632	20952	12147
633	20992	12118
634	21033	12090
635	21071	12059
636	21110	12030
637	21150	12000
638	21187	11969
639	21222	11937
640	21258	11906
641	21295	11875
642	21337	11846
643	21383	11820
644	21427	11793
645	21469	11765
646	21514	11738
647	21556	11709
648	21593	11678
649	21632	11648
650	21670	11617
651	21706	11585
652	21744	11554
653	21780	11522
654	21818	11492
655	21855	11460
656	21893	11429
657	21931	11398
658	21966	11366
659	22004	11335
660	22041	11304
661	22079	11273
662	22115	11241
663	22153	11210
664	22188	11177
665	22223	11145
666	22261	11113
667	22297	11081
668	22332	11049
669	22368	11017
670	22406	10986
671	22444	10955
672	22483	10924
673	22519	10892
674	22559	10861
675	22596	10830
676	22633	10798
677	22668	10765
678	22707	10734
679	22745	10703
680	22781	10671
681	22816	10638
682	22852	10606
683	22888	10574
684	22923	10541
685	22958	10508
686	22991	10474
687	23027	10442
688	23061	10409
689	23098	10377
690	23134	10345
691	23168	10311
692	23204	10279
693	23240	10247
694	23275	10214
695	23311	10181
696	23347	10149
697	23382	10116
698	23417	10084
699	23453	10051
700	23488	10018
701	23523	9985
702	23557	9952
703	23592	9919
704	23628	9887
705	23663	9854
706	23699	9821
707	23733	9788
708	23769	9755
709	23802	9722
710	23837	9689
711	23872	9656
712	23907	9623
713	23942	9590
714	23977	9557
715	24013	9524
716	24047	9491
717	24082	9458
718	24118	9426
719	24154	9393
720	24188	9360
721	24223	9327
722	24258	9293
723	24292	9260
724	24326	9227
725	24361	9194
726	24397	9161
727	24432	9128
728	24468	9096
729	24503	9062
730	24537	9029
731	24572	8996
732	24611	8964
733	24647	8932
734	24688	8901
735	24750	8877
736	24810	8853
737	24868	8828
738	24911	8798
739	24965	8771
740	25004	8739
741	25044	8708
742	25081	8675
743	25121	8643
744	25158	8611
745	25199	8580
746	25237	8547
747	25275	8515
748	25315	8483
749	25353	8451
750	25389	8417
751	25422	8384
752	25457	8350
753	25490	8316
754	25527	8283
755	25565	8251
756	25601	8218
757	25638	8185
758	25676	8152
759	25713	8120
760	25750	8087
761	25786	8054
762	25822	8020
763	25860	7988
764	25895	7954
765	25930	7921
766	25966	7888
767	26004	7855
768	26042	7822
769	26079	7789
770	26115	7756
771	26151	7723
772	26186	7690
773	26221	7656
774	26258	7623
775	26293	7589
776	26329	7556
777	26365	7523
778	26402	7490
779	26439	7457
780	26478	7424
781	26517	7392
782	26571	7363
783	26620	7334
784	26656	7300
785	26696	7268
786	26737	7236
787	26774	7203
788	26813	7170
789	26850	7137
790	26888	7104
791	26926	7071
792	26966	7039
793	27002	7005
794	27039	6972
795	27079	6939
796	27116	6906
797	27155	6873
798	27194	6841
799	27231	6807
800	27269	6774
801	27305	6741
802	27342	6707
803	27380	6674
804	27417	6641
805	27454	6608
806	27491	6574
807	27531	6542
808	27570	6509
809	27607	6475
810	27645	6442
811	27685	6409
812	27725	6377
813	27762	6343
814	27799	6310
815	27837	6277
816	27874	6243
817	27912	6210
818	27950	6177
819	27988	6143
820	28028	6110
821	28065	6077
822	28102	6044
823	28141	6010
824	28181	5977
825	28218	5944
826	28258	5911
827	28295	5877
828	28337	5845
829	28377	5812
830	28415	5778
831	28453	5745
832	28491	5711
833	28526	5678
834	28562	5644
835	28597	5610
836	28631	5575
837	28667	5541
838	28703	5508
839	28738	5474
840	28774	5440
841	28814	5406
842	28852	5373
843	28890	5339
844	28927	5306
845	28963	5272
846	29001	5238
847	29036	5204
848	29072	5170
849	29107	5136
850	29143	5102
851	29179	5068
852	29217	5035
853	29252	5000
854	29287	4966
855	29322	4932
856	29358	4898
857	29395	4864
858	29430	4830
859	29466	4796
860	29501	4762
861	29537	4728
862	29571	4694
863	29607	4660
864	29641	4626
865	29675	4591
866	29709	4557
867	29744	4523
868	29780	4489
869	29815	4455
870	29851	4421
871	29885	4386
872	29922	4352
873	29957	4318
874	29993	4284
875	30027	4250
876	30062	4216
877	30097	4182
878	30131	4147
879	30166	4113
880	30202	4079
881	30240	4045
882	30279	4012
883	30314	3977
884	30350	3943
885	30388	3910
886	30422	3875
887	30456	3841
888	30491	3807
889	30525	3772
890	30559	3738
891	30595	3704
892	30629	3670
893	30665	3635
894	30701	3601
895	30736	3567
896	30769	3533
897	30804	3498
898	30838	3464
899	30872	3430
900	30907	3396
901	30941	3361
902	30976	3327
903	31012	3293
904	31047	3259
905	31082	3224
906	31116	3190
907	31151	3156
908	31187	3122
909	31222	3087
910	31257	3053
911	31292	3019
912	31326	2985
913	31361	2950
914	31395	2916
915	31430	2882
916	31467	2848
917	31504	2814
918	31541	2780
919	31576	2745
920	31613	2711
921	31649	2677
922	31686	2643
923	31723	2609
924	31760	2575
925	31797	2541
926	31833	2506
927	31867	2472
928	31901	2438
929	31937	2403
930	31972	2369
931	32009	2335
932	32047	2301
933	32082	2267
934	32120	2232
935	32156	2198
936	32192	2164
937	32229	2130
938	32264	2096
939	32300	2061
940	32337	2027
941	32373	1993
942	32409	1958
943	32447	1924
944	32483	1890
945	32521	1856
946	32558	1822
947	32596	1788
948	32633	1753
949	32671	1719
950	32708	1685
951	32746	1651
952	32782	1616
953	32819	1582
954	32856	1548
955	32891	1513
956	32928	1479
957	32963	1445
958	32998	1410
959	33034	1376
960	33071	1342
961	33105	1307
962	33139	1273
963	33174	1238
964	33208	1204
965	33242	1170
966	33276	1135
967	33313	1101
968	33348	1066
969	33384	1032
970	33421	998
971	33458	963
972	33497	929
973	33532	895
974	33565	860
975	33599	826
976	33633	791
977	33668	757
978	33703	722
979	33737	688
980	33772	654
981	33807	619
982	33843	585
983	33878	550
984	33913	516
985	33947	482
986	33981	447
987	34016	413
988	34051	378
989	34087	344
990	34121	309
991	34157	275
992	34193	241
993	34231	206
994	34266	172
995	34302	137
996	34338	103
997	34373	68
998	34412	34
999	34447	0
