id,followers_count,following_count,tweet_count,listed_count,name_length,username_length,description_length,verified,protected,ff_ratio,label
u4107317134,481,870,67025,26,8,13,144,0,0,0.5528735632183908,0
u4858296837,202,712,158,5,17,12,104,0,0,0.28370786516853935,0
u232631847,278,342,4029,4,6,10,146,0,0,0.8128654970760234,0
u16700555,29546,384,53427,402,12,11,157,1,0,76.94270833333333,0
u981728680752943105,72,309,274,0,19,12,50,0,0,0.23300970873786409,0
u4219456873,19024,7771,70870,31,30,12,131,0,0,2.448076180671728,0
u25970083,1527,4996,2704,22,9,12,158,0,0,0.30564451561249,0
u972530283466625029,2169,4292,3189,4,36,14,83,0,0,0.505358807082945,0
u873096225595183105,30,27,960,0,18,11,64,0,0,1.1111111111111112,0
u723304494092578816,4528,496,7543,42,8,8,104,0,0,9.129032258064516,0
u1395998330,44,266,244,0,15,14,55,0,0,0.16541353383458646,0
u462303478,62,226,168,4,12,8,156,0,0,0.2743362831858407,0
u116310869,1242440,518,23639,1135,15,15,74,1,0,2398.5328185328185,0
u20549962,10146,987,26535,157,6,5,158,1,0,10.279635258358663,0
u955504833154506753,63,158,260,5,13,10,68,0,0,0.3987341772151899,0
u1893987704,1600,1001,11733,37,12,13,151,0,0,1.5984015984015985,0
u1566119136,634,1511,8226,26,17,11,145,0,0,0.4195896757114494,0
u75720408,168,104,174,7,11,6,78,0,0,1.6153846153846154,0
u2461998650,180,227,400,17,10,12,136,0,0,0.7929515418502202,0
u163860647,798,1804,11764,31,13,8,112,0,0,0.442350332594235,0
u260885614,3425,4558,13962,30,12,10,127,0,0,0.7514260640631856,0
u601380530,37,164,2736,0,12,13,0,0,0,0.22560975609756098,0
u58101689,53,810,439,0,8,12,0,0,0,0.0654320987654321,0
u758382951532859393,32,215,663,1,10,9,151,0,0,0.14883720930232558,0
u2492834234,160,955,5322,3,21,10,149,0,0,0.16753926701570682,0
u338630187,142,574,1376,5,7,11,49,0,0,0.24738675958188153,0
u3047930108,63,87,2887,2,19,9,133,0,0,0.7241379310344828,0
u29345753,8831,1147,81566,141,11,10,24,0,0,7.6992153443766345,0
u1676521974,410,901,3510,18,15,11,124,0,0,0.4550499445061043,0
u34099535,5238,822,5018,197,11,10,155,1,0,6.372262773722627,0
u979167878665584640,21,44,79,0,11,9,53,0,0,0.4772727272727273,0
u2589140066,276,181,6479,1,12,8,90,0,0,1.5248618784530388,0
u285692090,728,429,1556,44,14,10,160,0,0,1.696969696969697,0
u1013374544,57153,20071,39369,645,11,12,139,1,0,2.8475412286383337,0
u2491916912,365,356,1943,0,12,10,0,0,0,1.0252808988764044,0
u865670428701765632,193,390,3459,0,5,15,19,0,0,0.4948717948717949,0
u827563732154843138,172,263,34519,2,1,9,151,0,0,0.6539923954372624,0
u1050442640783802370,54,163,1101,0,13,11,15,0,0,0.3312883435582822,0
u28743012,209,1501,3202,5,17,12,133,0,0,0.13924050632911392,0
u2575357264,140,139,312,0,3,13,0,0,0,1.0071942446043165,0
u42967074,160,621,2103,1,19,12,108,0,0,0.2576489533011272,0
u1604847120,538,346,474,4,14,13,137,0,0,1.5549132947976878,0
u2878719694,131,276,1389,7,9,10,124,0,0,0.4746376811594203,0
u768545714938916864,154,294,520,4,14,7,158,0,0,0.5238095238095238,0
u2553174240,1437,313,22786,30,5,12,42,0,0,4.5910543130990416,0
u2227949787,487,506,13140,4,5,10,16,0,0,0.9624505928853755,0
u748293762942533632,1158,765,14370,30,6,13,137,0,0,1.5137254901960784,0
u226693527,1610,1658,676,10,9,8,141,0,0,0.971049457177322,0
u65806493,93,236,14506,27,9,9,17,0,0,0.3940677966101695,0
u284527145,884,1229,14125,3,35,7,110,0,0,0.7192839707078926,0
u439758044,9839,2487,85875,32,11,10,96,0,0,3.956172094893446,0
u109713299,818,465,1199,7,12,11,128,0,0,1.7591397849462365,0
u967612769238503425,8185,8775,17724,5,11,9,121,0,0,0.9327635327635327,0
u1020076729807716357,462,600,1005,0,12,9,152,0,0,0.77,0
u470324887,948,1015,14393,16,16,15,38,0,0,0.9339901477832512,0
u1052454093468389377,5,38,78,0,19,8,59,0,0,0.13157894736842105,0
u197509918,250,331,6478,4,13,14,0,0,0,0.7552870090634441,0
u16857442,179,289,1656,7,9,11,94,0,0,0.6193771626297578,0
u806587682310803467,11,121,76,1,11,15,0,0,0,0.09090909090909091,0
u14221943,100,634,1468,0,11,11,0,0,0,0.15772870662460567,0
u748320406252183552,208,656,3302,7,10,13,0,0,0,0.3170731707317073,0
u43049202,8653,274,2232,126,13,12,143,0,0,31.580291970802918,0
u2170148507,12,159,4080,0,11,10,39,0,0,0.07547169811320754,0
u825518870421180416,133062,52271,52101,777,23,11,158,0,0,2.5456180291174837,0
u90020202,1971,5002,10131,127,9,12,157,0,0,0.3940423830467813,0
u828750726474104832,172,1016,7146,0,10,11,119,0,0,0.16929133858267717,0
u23719684,96086,1412,12489,267,12,14,123,0,0,68.04957507082153,0
u1579361887,2625,3210,8077,100,19,15,119,0,0,0.8177570093457944,0
u831856988,621,349,7191,2,18,9,47,0,0,1.7793696275071633,0
u19281291,348,575,8431,26,8,12,156,0,0,0.6052173913043478,0
u3711301577,67,219,2318,1,9,14,157,0,0,0.3059360730593607,0
u18995373,99631,516,43823,1288,12,8,106,1,0,193.08333333333334,0
u19010792,376,530,2468,4,14,5,131,0,0,0.7094339622641509,0
u5759752,5439,1826,32847,199,21,8,113,0,0,2.978641840087623,0
u49540613,11978,488,37162,117,9,11,159,0,0,24.545081967213115,0
u2883075838,1355,566,10598,15,44,15,165,0,0,2.393992932862191,0
u18662362,303,623,5219,4,18,11,100,0,0,0.48635634028892455,0
u3174693900,1316,2343,1135,68,18,14,158,0,0,0.5616730687153222,0
u16982207,521,760,9332,27,8,14,112,0,0,0.6855263157894737,0
u821041840824651780,4235,4998,22593,35,17,14,155,0,0,0.8473389355742297,0
u61355746,1148403,1021,4003,6847,9,8,65,1,0,1124.7825661116553,0
u101790067,58626,4941,7278,509,17,15,89,1,0,11.86520947176685,0
u1714617541,876,368,25891,5,18,12,44,0,0,2.380434782608696,0
u80920904,486,290,9415,28,18,8,139,0,0,1.6758620689655173,0
u4092948613,89,87,1092,0,15,14,14,0,0,1.0229885057471264,0
u461721394,7,59,1,0,16,14,160,0,0,0.11864406779661017,0
u493714995,139617,32046,46281,1292,14,13,159,1,0,4.356768395431567,0
u631663116,411,760,19534,23,24,9,146,0,0,0.5407894736842105,0
u1055847376852783104,14,8,13,0,21,11,0,0,0,1.75,0
u829104820485242883,99,135,1158,0,12,10,0,0,0,0.7333333333333333,0
u858649663,295,668,3036,0,3,9,36,0,0,0.4416167664670659,0
u3031991798,2208,2295,911,7,11,10,143,0,0,0.9620915032679739,0
u3745695987,78,536,677,1,20,11,121,0,0,0.1455223880597015,0
u72433559,7937,941,22848,302,18,9,147,1,0,8.434643995749203,0
u370428440,78,396,667,2,15,15,150,0,0,0.19696969696969696,0
u309087827,169,458,329,4,10,7,49,0,0,0.36899563318777295,0
u1036972845727932416,23,62,873,0,6,8,13,0,0,0.3709677419354839,0
u137458405,643,415,22768,67,17,14,22,0,0,1.5493975903614459,0
u836600754,182,278,2539,10,10,7,97,0,0,0.6546762589928058,0
u20660088,1103,1268,4173,84,12,13,36,0,0,0.8698738170347003,0
u4216129103,428,1498,6463,4,13,13,155,0,0,0.2857142857142857,0
u716291655423365121,13,78,1986,0,13,10,118,0,0,0.16666666666666666,0
u36262003,267,822,790,7,19,14,133,0,0,0.3248175182481752,0
u3048202985,1445,2116,15347,75,16,7,148,0,0,0.6828922495274102,0
u374685250,103,377,7678,7,30,8,111,0,0,0.27320954907161804,0
u756502435749847041,20,124,395,0,4,7,65,0,0,0.16129032258064516,0
u3026987292,4399,1147,2497,26,17,15,118,1,0,3.835222319093287,0
u38321577,2134,2417,2085,2,12,8,155,0,0,0.8829127016963177,0
u896193455222734848,36,208,359,0,7,14,75,0,0,0.17307692307692307,0
u2425208315,40,77,64,0,12,8,0,0,0,0.5194805194805194,0
u727518094847959040,137,348,4994,4,22,11,66,0,0,0.3936781609195402,0
u1544110862,155,96,1953,2,7,11,10,0,0,1.6145833333333333,0
u36129908,8949,1340,23856,155,14,13,157,1,0,6.678358208955224,0
u16030236,396,149,2943,78,13,7,57,0,0,2.6577181208053693,0
u974838878317166592,30,96,1594,0,15,14,88,0,0,0.3125,0
u251341054,3742,4670,80679,105,7,15,162,0,0,0.8012847965738759,0
u842763218,23052,17019,3215,383,14,9,154,0,0,1.3544861625242377,0
u947649389438349312,492,382,7794,3,8,10,143,0,0,1.287958115183246,0
