user_id,followers,following,account_age_days,total_posts,total_retweets,is_bot
user_legit_06252,13773,82,1664,412,220,False
user_legit_04684,25852,1076,3410,194,80,False
user_legit_01731,45199,461,822,265,55,False
user_legit_04742,21404,1289,839,105,32,False
user_legit_04521,34918,156,1584,140,49,False
user_legit_06340,14872,1148,2893,71,34,False
user_legit_00576,46291,1127,1436,291,133,False
user_legit_05202,41826,1252,3549,309,97,False
user_legit_06363,12873,1119,1173,85,24,False
user_legit_00439,19884,1246,58,468,78,False
user_legit_02750,12265,502,884,320,182,False
user_legit_07487,25542,1776,599,142,60,False
user_legit_05272,12085,841,2661,295,38,False
user_legit_05653,23265,1806,2157,35,10,False
user_legit_03999,26008,1386,1455,407,182,False
user_legit_06033,47407,1457,1886,2,0,False
user_legit_00582,5346,445,3046,128,20,False
user_bot_00430,4,3034,6,10,331,True
user_legit_07051,21621,749,273,135,39,False
user_legit_08158,46602,1450,1757,37,18,False
user_bot_00396,3,993,21,2,56,True
user_legit_02249,21180,339,1827,369,179,False
user_legit_04640,42134,194,264,313,21,False
user_legit_09485,38959,1770,2997,301,69,False
user_legit_04947,25992,279,1193,79,36,False
user_bot_00420,1,2044,22,11,132,True
user_legit_01963,40917,1773,217,442,49,False
user_legit_08243,39912,1750,2030,113,17,False
user_legit_06590,514,1555,1002,103,53,False
user_legit_08847,11429,328,3635,321,146,False
user_legit_00321,5395,249,1336,174,50,False
user_legit_02678,28984,78,3450,334,32,False
user_legit_04625,19240,553,3408,33,17,False
user_legit_04949,18417,1321,405,404,155,False
user_legit_08328,8195,1569,3600,287,115,False
user_legit_03337,2536,1757,2664,77,17,False
user_legit_05589,42331,1106,2402,349,78,False
user_legit_00251,24704,1113,2566,217,41,False
user_legit_03973,12902,39,3486,420,50,False
user_legit_06630,24280,753,1990,227,31,False
user_legit_05547,2453,342,529,399,83,False
user_legit_00035,3200,1143,1335,422,172,False
user_legit_08362,38606,1670,789,14,7,False
user_legit_01513,16543,345,3245,157,33,False
user_legit_09317,28719,1406,2706,85,29,False
user_legit_00039,31586,1421,527,269,127,False
user_legit_04819,46597,339,2226,219,106,False
user_legit_03465,37487,1738,227,354,172,False
user_legit_01760,19239,484,1687,197,21,False
user_legit_02304,45787,1408,832,32,12,False
user_legit_03723,49676,520,1696,265,85,False
user_legit_08284,39797,1410,209,12,2,False
user_legit_04993,27617,1759,245,52,18,False
user_legit_08127,29310,1925,1392,104,16,False
user_legit_03032,28165,377,2495,214,113,False
user_legit_07938,3491,1987,3108,254,92,False
user_legit_03039,9891,65,2514,360,202,False
user_bot_00155,3,4675,23,17,626,True
user_legit_02545,19882,274,1560,213,16,False
user_legit_02592,26611,1656,2875,203,13,False
user_legit_01188,28330,1699,448,319,135,False
user_legit_07966,10507,1490,3387,335,89,False
user_legit_06077,9223,1085,3122,180,20,False
user_legit_00107,33245,930,403,139,47,False
user_legit_01315,14954,335,2891,52,14,False
user_legit_08187,9330,1202,482,300,107,False
user_legit_02753,32586,497,872,225,15,False
user_bot_00253,2,3175,15,10,435,True
user_legit_06231,31625,933,2905,23,7,False
user_legit_02876,33216,1418,3419,437,186,False
user_legit_05323,19833,1477,2305,187,25,False
user_legit_00799,22121,560,3363,325,58,False
user_legit_03570,39978,1020,2803,275,87,False
user_legit_02894,13048,1215,2245,280,163,False
user_legit_02927,16043,1201,2524,356,61,False
user_legit_08178,33589,1149,757,188,85,False
user_legit_00971,20925,1257,3501,137,70,False
user_legit_06687,5184,1980,835,278,143,False
user_legit_08575,10827,1125,884,404,200,False
user_legit_02020,15151,1366,169,139,58,False
user_legit_09054,48336,366,3345,475,206,False
user_legit_00952,30738,1871,1895,448,141,False
user_legit_05359,17075,1858,1408,77,8,False
user_legit_03857,931,81,298,143,72,False
user_legit_05861,29718,1993,971,363,70,False
user_legit_03145,27612,1731,3186,258,48,False
user_legit_03305,12743,14,863,420,98,False
user_legit_03006,29957,634,831,70,29,False
user_legit_09001,952,490,2119,169,89,False
user_legit_07770,11347,151,988,328,107,False
user_legit_07438,29420,1516,2235,232,126,False
user_legit_07942,28652,588,3033,420,75,False
user_legit_09238,32182,87,1127,240,137,False
user_legit_01056,22484,1487,3062,141,76,False
user_legit_03154,3443,1497,3086,478,108,False
user_legit_03787,1067,684,1579,497,129,False
user_legit_09189,10574,1264,142,151,73,False
user_legit_07825,43272,1984,2698,494,93,False
user_legit_07539,31536,220,2859,271,48,False
user_legit_07231,34729,1962,3055,299,18,False
user_legit_00764,18045,1322,3490,419,118,False
user_legit_05019,32119,111,1685,425,82,False
user_legit_04903,36013,694,1634,40,21,False
user_legit_08093,12082,960,3592,134,23,False
user_legit_06843,17120,1383,3375,241,52,False
user_legit_02165,46194,672,1873,2,0,False
